time,topic,related,emotion,content,comment
0.00000,3,2,0.0,5,"Cherry, these numbers hold up and definitely"
8.00000,,2,0,5,then*
19.00000,3,1,2.0,5,Right? sketchW It's exciting
20.00000,4,2,0.0,5,Dat drizzity drama.
20.50000,4,1,0.0,5,Is this dude from Canada ?
22.00000,4,1,2.0,5,"@Cheflethalplays, haha that was directed at pure, i know you said hi :P"
25.00000,2,1,0.0,5,Nah he's not
28.00000,2,2,0.0,5,nah
30.00000,1,1,-2.0,5,"Look what you did, Drizz. You made Chef feel bad. You should be ashamed of yourself."
35.00000,,2,0.0,5,Hey Twiz snowyWave
47.00000,4,2,2.0,5,"I mean, if you're looking for a canadian I'm... available ;)"
49.00000,1,1,0.0,5,well I was going to watch your stream this weekend >.>
50.00000,1,1,-1.0,5,"i'm always ashamed of myself, do you think i could be me without being ashamed? Kappa"
50.50000,3,1,1.0,5,the weekend ? the football is back (soccer ) xD
53.00000,1,1,0.0,5,oh know you notice me bacon FeelsBadMan
58.00000,1,1,1.0,5,"Well, this weekend I was going to watch an awesome stream but it got cancelled."
59.00000,3,2,0.0,5,DRIZZLE PLZ
61.00000,1,2,0.0,5,now*
71.00000,,2,0.0,5,weewoo
73.00000,1,2,0.0,5,American Football starts tonight!!!!! WOOTT!!!
78.00000,3,2,0.0,5,ew
79.00000,1,2,0.0,5,"If you're looking for bacon, I'm here as well. MVGame"
88.00000,1,2,0.0,5,football is meh
90.00000,2,1,2.0,5,Pure... Pure what team you for....
96.00000,2,2,0.0,5,Patriots and Panthers
101.00000,5,2,-1.0,2,DansGame
101.33333,3,2,0.0,5,ewwww
101.66667,3,2,0.0,5,"yeah, rip convos at work"
103.00000,2,2,0.0,5,We can't be friends.
107.00000,2,1,1.0,5,LOL
109.00000,2,2,0.0,5,giants> patriots
113.00000,2,2,0.0,5,"I'm from Carolina, so the Panthers are a given."
117.00000,3,2,1.0,5,XD Yeah
122.00000,2,2,0.0,5,I'm a Seahawks fan though soooo
123.00000,,2,0,5,>_>
124.00000,2,1,0.0,5,And I've been a Pats fan for almost 20 years; I just can't not.
127.00000,1,2,-2.0,5,"PureKaos26, you are my enemy tonight bamRage"
129.00000,2,1,1.0,5,seahawks <3
129.50000,1,1,1.0,5,@PureKaos26 i dont follow american football .. but my team is philli eagles ;)
131.00000,,2,0.0,5,lolol
134.00000,1,2,1.0,5,Same TwiztidDJ94 xD
135.00000,1,2,1.0,5,I too enjoy the spectating of sportsball
136.00000,1,1,1.0,5,eagles <3
140.00000,3,1,3.0,5,"youre left handed, a bro! PogChamp PogChamp PogChamp"
149.00000,4,1,0.0,5,"I mean, I guess it could be worse. You could have said 49'ers Kappa"
151.00000,1,1,0.0,5,"I only pay attention to those two teams, though; so I'm not a real football fan."
151.50000,3,2,-1.0,5,garlic hype
153.00000,,2,1.0,5,Vikings FTW. snowyHype
156.00000,3,2,0.0,5,"hahahah true, Cherry"
163.00000,2,1,-1.0,5,Oh I go HARD for Seahawks. My second is the Saints though
163.50000,2,1,1.0,5,I honestly thought that you look and act like Chris Pratt
167.00000,,2,0.0,5,Garlicbread!
170.00000,1,2,1.0,5,I honestly prefer college football.
171.00000,1,2,0.0,5,It's been wrecking my brain for a while now
172.00000,1,2,0.0,5,my sister is a 49er's fan.......
179.00000,1,1,1.0,5,can the philli eagles even win this year ?
183.00000,1,2,0.0,5,ill watch if so
184.00000,4,1,1.0,5,"I'm a Basketball fan tbh. Given I live in KY you can guess, I'm sure, who I like ;D"
185.00000,1,2,1.0,5,he get's that a lot BelfastBai :D
195.00000,4,2,1.0,5,haha I'd never guess ;)
198.00000,,2,0.0,5,Hehehe
205.00000,4,2,1.0,5,"@Khostic, MingLee"
211.00000,2,1,0.0,5,Kait and I go hard in the blue paint for our Basketball team xD
219.00000,3,1,1.0,5,"They playing the basketball in Kentucky, Cherry? Kappa"
226.00000,2,1,0.0,5,One of my good friends is all about the blue paint.
228.00000,1,1,-1.0,5,"Will chefers the weekend gone by we had a family bash, chicken, cod tongues, meatballs, home made fries, crab legs, thn later we had turkey and salads and sweets, beer singing and dancing... Bout 20 family members got together"
245.00000,4,1,2.0,5,so much done when you feel like it Kappa
249.00000,4,1,0.0,5,"Geeze oh peets, Newfie - can you adopt me for your next family get-together??"
256.00000,1,1,2.0,5,sketchGasm Yasssss bleed blue fo lyfeeee. It's also a good thing Chef doesn't stream on Sundays this time of year much amirite Pure Kappa
260.00000,,2,0.0,5,Greetings from Russia
267.00000,3,2,2.0,5,"hahahah very helpful, Cherry ;)"
272.00000,3,2,0.0,5,SourPls
277.00000,1,1,1.0,5,I know where I'll find YOU now at least on Sundays! :P
279.00000,1,2,1.0,5,@purekaos26 hun your always welcome ;-)
285.00000,5,2,1.0,2,<3
286.00000,3,2,0.0,5,RarestParrot SourPls
290.00000,2,1,1.0,5,LOL King
294.00000,,2,1.0,5,vote trump
299.00000,4,2,0.0,5,sorry im done
301.00000,,2,0,5,no more
302.00000,3,2,0.0,5,no politics plz
304.00000,,2,0.0,5,kthanksbai
305.00000,1,2,1.0,5,D: But the nipples the best parttttt
305.50000,5,2,1.0,2,:)
315.00000,4,2,0.0,5,crab legs... cod tongues... you're legit newfie
315.50000,1,2,0.0,5,Hello from germany
316.00000,4,1,0.0,5,Chefers you never had cod tongues before??
323.00000,2,2,0.0,5,"CherryGryffon, agreed danBad"
324.00000,4,1,1.0,5,"cod toung is not actualt the toung of the cod, it's a piece underneath the toung, it just looks like a toung"
332.00000,2,1,2.0,5,"sketchW Pure, if you promise to be more Panther than Pat, we can be friends"
351.00000,1,2,0.0,5,YES
355.00000,1,2,0.0,5,Captain fire the chalet missiles!
356.00000,2,2,2.0,5,I can promise that. State loyalty and such.
364.00000,3,1,0.0,5,sketchHype chefHeart GOOD. O/ Frandsss
372.00000,3,1,0.0,5,Chefers you dont know what your missing dude
379.00000,,1,0.0,5,TriHard?
379.50000,3,2,0.0,5,chefHeart
384.00000,3,2,0.0,5,drakePls
386.00000,3,2,0.0,5,RareParrot
388.00000,1,2,1.0,5,@dann2442 its too awesome
407.00000,4,1,1.0,5,"@newfieguy4, yeah I've had my fair share... not too many cod tounges though"
413.00000,3,1,0.0,5,is it just me... or is the above camera reversed?
414.00000,1,1,0.0,5,@mrosiris1995 how do you fire a chalet? That's a whole building. OMGScoots
416.00000,,2,0.0,5,brazil here
424.00000,,2,0.0,5,"@Zygsy, it is."
425.00000,2,1,1.0,5,shallot and wine <3
428.00000,,2,0.0,5,space cannons. duh
432.00000,4,2,0.0,5,i want to learn english on this way
435.00000,4,2,0.0,3,hahahaha
437.00000,4,1,1.0,5,ok wasnt sure :D
439.00000,1,2,-1.0,5,My grandfather cooks capelin when family is around all the damn time
444.00000,3,2,1.0,5,They're temporarily reversed ;)
444.50000,3,1,0.0,5,can you cook kfc? TriHard
448.00000,3,1,0.0,5,Yea he pointed it out and now it can't be unseen.
453.00000,,2,1.0,5,we have it everynow and then here in norway :D
455.00000,1,2,0.0,5,@TristanPresang99 hello from ireland
461.00000,4,2,1.0,5,Omg @dann2442 caplin is fking amazing
484.00000,3,1,0.0,5,"@newfieguy4, Yeah I have no doubts now. Newfoundland right?"
496.00000,3,2,0.0,5,I'm trying to figure out where his camera is set up ;-;
499.00000,3,1,1.0,5,why are you cutting them like that?
504.00000,4,2,0.0,5,Yup @dann2442 you guessed it
505.00000,1,1,-1.0,5,"Let's not wave knives around, Cheffy. It's bad for you. :-P"
505.50000,,2,0.0,5,"ow, eyeballs"
508.00000,1,2,0.0,5,"@Cheflethalplays, YES :|"
520.00000,2,1,-1.0,5,Anybody else flinch when the knife came up?
527.00000,2,2,-1.0,5,good knife
529.00000,2,2,1.0,5,"I'd say glasses are helpful for eye protection, but I've managed to stab myself in the eye while wearing glasses...."
529.50000,,2,0.0,5,im jel
534.00000,,2,0,5,!quote
535.00000,,2,0,5,"Quote #86: ""I don't like warm meat on my salad."" [Creative] [08/18/2016]"
540.00000,4,1,1.0,5,"@newfieguy4, first fellow newfie I've seen on twitch. Now let's not confuse him with slang... b'y..."
542.00000,3,1,2.0,5,I dont lke Cod Because it often needs to be DE-wormed and is not. Have dewormed it many times need a white like and clear cutting board.
542.50000,1,2,0.0,5,I need to whisper a mod....
545.00000,1,2,-1.0,5,lnj... chefypoo is being baddddd
556.00000,3,1,1.0,5,"there's a bunch of us to pick from, @BaconBrotato2470 :D"
558.00000,3,2,0.0,5,"@BaconBrotato2470, whisper me daddy yea tangO"
562.00000,,2,0,5,or that
563.00000,1,2,1.0,5,I win
569.00000,2,1,1.0,5,lol
570.00000,4,1,0.0,5,@dann2442 try not to eh
576.00000,2,2,0.0,5,Jesus pimz
581.00000,1,1,0.0,5,I'm not fighting that. Pimz always wins :(
583.00000,2,1,1.0,5,million times better than mine lol
587.00000,1,2,0.0,5,There's no hope for me if Pimmy's in the running.
590.00000,2,2,0.0,5,\o/ pimz winz
601.00000,,2,0.0,5,winning
602.00000,1,2,0.0,5,"Let's be real, i can't run."
604.00000,4,1,1.0,5,"@newfieguy4, but we eh all the time, it's like it's in our DNA"
611.00000,3,1,1.0,5,I make it 5 feet and need a nap Kappa
615.00000,4,2,0.0,5,We don't help them canadian stereotypes
617.00000,1,1,1.0,5,"If you ever see me running, you'd best run, too, b/c something's chasing my fatass"
631.00000,4,1,0.0,5,you are not fatr
633.00000,,2,1.0,5,you shut it :P
636.00000,,2,0,5,^
638.00000,,2,-1.0,5,you haven't met me :(
646.00000,,2,0.0,5,that's your fault :P
650.00000,,2,0.0,5,shhhh
655.00000,3,2,0.0,5,"you have a car, too, ya know. :-P"
660.00000,1,2,0.0,5,And Pizza doesn't travel well.
661.00000,1,1,0.0,5,weird al <3
662.00000,4,2,0.0,5,"Ok yeah, I hear it too"
663.00000,4,2,0.0,5,just sayin'
663.50000,,2,-1.0,5,i have 0 PTO :(
664.00000,2,2,-1.0,5,"Agreed, I thought it WAS Weird Al at first"
665.00000,1,2,0.0,5,I love Weird Al
667.00000,1,1,0.0,5,oh i love weird al
674.00000,4,1,1.0,5,@dann2442 all that dna comes from the beer and whiskey we drink lol
676.00000,2,2,0.0,5,Hi luka
687.00000,2,2,0.0,5,hi pimz
691.00000,3,1,0.0,5,"Yep, Chef & Hubby = BFF"
695.00000,1,1,0.0,5,"Chef, Weird Al is my boy. I love his music."
707.00000,,2,0,5,!quote for weird al
708.00000,,2,0,5,"Quote #12: ""Luuube up the boobies"" [Creative] [03/15/2016]"
708.50000,4,1,-1.0,5,@dann2442 us newfs def know how to throw a bash
710.00000,4,1,0.0,5,Chubby?
717.00000,4,1,1.0,5,"@newfieguy4, bruh screech is amazing. When family come down to TO, they bring some with em."
719.00000,3,2,1.0,5,Sounds about right
722.00000,,1,0.0,5,Hef?
728.00000,4,1,1.0,5,I guess we've got a Chubby Kappa
729.00000,1,2,-1.0,5,I'm bad at ship names.
731.00000,,2,1.0,5,I'll take my swigs with pride
734.00000,3,2,0.0,5,HUBBY PLZ
739.00000,2,2,0.0,5,I can and will purge your baloney.
750.00000,1,1,0.0,5,mod abuse Kappa
752.00000,2,2,1.0,5,you're full of baloney Pure
757.00000,2,1,1.0,5,Purge my baloney Kappa
758.00000,2,2,-2.0,5,I hate baloney :(
758.50000,2,1,0.0,5,@dann2442 these guys n gals in here need to b screeched in
761.00000,4,2,0.0,5,omg
762.00000,3,2,0.0,5,Hubby
762.50000,4,2,0.0,5,done
763.00000,2,2,0.0,5,Hi
765.00000,,2,0,5,You did it!
