time,topic,related,emotion,content,comment
0.00000,6,2,0.0,5,eat the food
0.33333,,2,0,3,!deck
0.66667,10,2,-1.0,2,DansGame
1.00000,2,2,-1.0,5,Not playing around battle rage NotLikeThis
2.00000,10,2,0.0,2,OhMyDog
3.00000,7,2,0.0,5,ITS MAKES YOU VEGAN Wut
3.50000,10,1,1.0,2,LUL
4.00000,5,2,0.0,5,SELLOUT
4.50000,10,1,1.0,2,LUL
6.00000,10,2,0.0,2,FrankerZ
8.00000,4,2,0.0,5,"Im not sponsered, heres all their cool stuff tho"
8.33333,10,2,0.0,2,OhMyDog
8.66667,3,2,1.0,5,THATS LACIST MingLee
9.00000,,2,0.0,5,l0l
10.00000,10,1,1.0,2,LUL
10.33333,2,2,1.0,5,thats right up ur ally OhMyDog
10.66667,8,1,0.0,5,drink out of a toilet? sign me up
11.00000,8,2,0.0,5,"Yes, u subscrive and u receive mistery loot crates every month"
12.00000,8,1,0.0,5,RACISM PogChamp
15.00000,6,2,0.0,5,PepePls
17.00000,5,1,2.0,5,like a true dog Kappa
17.33333,10,1,1.0,2,LUL
17.66667,3,2,1.0,5,mmm *** flavor VoHiYo
18.00000,8,2,0.0,5,@hsdogdog what is the company called
20.00000,6,2,0.0,5,PepePls
22.00000,3,2,0.0,5,dogs drink out of toilets all the time
26.00000,8,2,0.0,5,because japanese is a race OpieOP
27.00000,6,1,1.0,5,ULU Japanese culture EleGiggle
28.00000,3,2,1.0,5,MingLee thrank rou
31.00000,8,2,0.0,5,japanese crate
32.00000,8,1,-4.0,5,Racism DansGame DansGame DansGame
32.50000,7,1,2.0,5,Not being racist in 2016 EleGiggle
33.00000,,2,0.0,5,簡単なことだよ
36.00000,8,2,0.0,5,the company is called japan crate
36.33333,1,2,0.0,5,@Compulsivelemon JapanCrate
36.66667,5,1,0.0,5,SourPls PepePls dogdogPls dogdogRare (ditto)
40.00000,8,2,0.0,5,is what the things called
40.50000,1,2,0.0,5,My cat drinks out of the toilet and then walks on the counter (puke)
41.00000,3,2,2.0,5,'fun' VoHiYo
43.00000,10,2,1.0,2,lol
44.00000,10,1,1.0,2,LUL
44.50000,1,2,0.0,5,"As a representative of JapanCrate, I can assure you that we gave dog 100000 to do this shameless plug of our box of weeb goodies."
45.00000,10,1,0.0,2,TriHard
46.00000,5,1,1.0,5,INNERVATE MY KRAKEN DOG Kreygasm
47.00000,6,2,1.0,5,PICK BOOGER Kreygasm
48.00000,8,2,0.0,5,cocaine FeelsAmazingMan
48.33333,10,1,0.0,2,TriHard /
48.66667,10,2,0,2,😤
49.00000,5,2,0.0,5,FeelsGoodMan
49.25000,5,2,1.0,5,we love it when you innervate your kraken....
49.50000,10,2,-1.0,2,DansGame
49.75000,2,2,0.0,5,COCO
50.00000,10,2,0.0,2,BasedGod
50.25000,10,1,0.0,2,TriHard
50.50000,4,2,0.0,5,DAESuppy stop DAESuppy lacism DAESuppy
50.75000,8,1,0.0,5,TriHard o7
51.00000,8,2,0.0,5,FeelsGoodMan COCAINE
51.50000,10,1,0.0,2,TriHard
52.00000,5,2,0.0,5,anthrax
53.00000,10,1,0.0,2,TriHard /
53.33333,10,2,-1.0,2,DansGame
53.66667,8,1,0.0,5,COCAINE TriHard
54.00000,10,1,0.0,2,TriHard
54.50000,10,1,0.0,2,TriHard /
56.00000,8,1,0.0,5,bananas TriHard
57.00000,,1,0.0,5,cubHard ?
58.00000,4,2,0.0,5,KingMe
59.00000,2,2,1.0,5,IM IN LOVE WITH THE COCO
60.00000,3,1,0.0,5,are there any 2/3 two drops remaining in the meta?
60.33333,10,1,0.0,2,TriHard
60.66667,10,2,0.0,2,cmonBruh
61.00000,8,2,0.0,1,This *** is bananas
62.00000,5,2,-1.0,5,ResidentSleeper BANANA
62.50000,8,1,0.0,5,WACIST TriHard
66.00000,6,2,0.0,5,your nose would be numb if it was coke SeemsGood
67.00000,,2,0.0,5,犬さんはバカ
68.00000,10,2,0.0,2,catzTROLL OSsloth
71.00000,,2,0.0,1,B-A-N-A-N-A-S asmoB
71.50000,10,2,0.0,2,🛡 cmonBruh 🗡
73.00000,6,2,1.0,5,HENTAICRATE Kreygasm
74.00000,10,1,0.0,2,TriHard
76.00000,9,2,0.0,5,resttRIP resttRIP
78.00000,,2,0,3,!deck
78.33333,,2,0,3,Decklists from stream! http://imgur.com/a/bNYjT (Partially Updated 9/15/16)
78.66667,8,1,1.0,5,"Hsdogdog, most overrated player ever LUL"
82.00000,3,2,0.0,5,he can still execute it
84.00000,8,2,1.0,5,Lukanka <3
84.50000,6,1,1.0,5,dog did you get to enjoy some tavern brawl this week
90.00000,,2,0,3,!decks
91.00000,5,1,-2.0,5,DansGame RUCK FACISTS DansGame
91.50000,6,1,1.0,5,DONT YOU TRY IT? PogChamp
92.00000,3,1,0.0,5,@hsdogdog video of the washer version you got https://www.youtube.com/watch?v=bKPtdQp6N8o
101.00000,,2,0,3,!commands
101.50000,,2,0,3,ExtremeDennis -> The bot commands for this channel are available at https://beta.nightbot.tv/t/hsdogdog/commands
102.00000,9,2,0.0,5,icehowl
102.33333,6,2,1.0,5,BOOGIE WONDERLAND Kreygasm
102.66667,,2,0,3,!help
105.00000,,2,-1.0,5,Crack me up
105.50000,5,2,0.0,5,aff
107.00000,5,2,-1.0,5,dragon warrior BrokeBack
108.00000,,2,0.0,5,RUUUUUUUUUUUUU
109.00000,8,2,0.0,5,Europe is a country OpieOP
110.00000,2,1,-1.0,5,"@Hsdogdog, it's a hentaicrait WutFace"
110.50000,8,1,0.0,5,is he running double ancient of wars and double bog creeper?
112.00000,8,1,0.0,5,Burgle TriHard Gang Up TriHard BACKSTAB TriHard
112.50000,10,1,1.0,2,LUL
113.00000,10,2,1.0,2,LOL
113.50000,10,1,1.0,2,LUL
114.00000,10,1,1.0,2,LUL
114.33333,10,2,0.0,2,PJSugar PJSugar PJSugar
114.66667,5,2,-1.0,5,its anthrax rip dog
115.00000,10,1,1.0,2,LUL
116.00000,10,1,1.0,2,LUL
117.00000,8,2,0.0,5,i sure do FeelsAmazingMan
117.50000,3,1,0.0,5,Did he say Scheiße?
119.00000,10,2,0.0,2,PJSugar
119.50000,10,1,1.0,2,LUL
120.00000,6,1,1.0,5,found the coke user LUL
122.00000,6,1,0.0,5,TRY IT OR NO BALLS DOG !!
123.00000,10,1,1.0,2,LUL
124.00000,,2,0,3,!deck
124.33333,,2,0,3,Decklists from stream! http://imgur.com/a/bNYjT (Partially Updated 9/15/16)
124.66667,10,2,0.0,2,PJSugar
125.00000,3,1,1.0,5,THATS NOT HIS KNEE Kreygasm
126.00000,10,1,1.0,2,LUL
126.50000,10,2,0.0,2,SSSsss DoritosChip
127.00000,10,2,1.0,2,Kreygasm
127.16667,7,2,2.0,5,GivePLZ DANCE GivePLZ
127.33333,8,1,0.0,5,I know my coke TriHard
127.50000,3,1,1.0,5,NOT HIS KNEE Kreygasm
127.66667,6,2,0.0,5,that's not his knee Keepo
127.83333,8,2,1.0,5,pro cokehead SeemsGood
128.00000,,2,0.0,5,Kregasm
128.33333,8,2,0.0,5,only good coke does that
128.66667,6,1,0.0,5,gachiGASM THATS NOT HIS KNEE
131.00000,3,1,2.0,5,"""knee"" Right dog ;)"
132.00000,6,1,0.0,5,IT'S HIS DICK PogChamp
132.50000,3,1,2.0,5,Kreygasm THATS NOT HIS KNEE Kreygasm
133.00000,3,1,1.0,5,THATS NOT HIS KNEE PogChamp
133.50000,3,2,-1.0,5,show knee SwiftRage
134.00000,1,2,0.0,5,rag
135.00000,3,1,1.0,5,"""knee"" LUL"
135.25000,6,2,0.0,5,I still see it tho
135.50000,3,1,1.0,5,"Kreygasm ""knee"""
135.75000,9,1,-1.0,5,showing skin WutFace
136.00000,7,2,0.0,5,"""kneww"""
136.50000,3,1,2.0,5,"""your knee"" right Kappa"
137.00000,3,2,0.0,5,ARROW IN THE KNEE
137.50000,3,1,1.0,5,knee stream LUL
138.00000,3,1,-1.0,5,thats not his Kreygasm knee
139.00000,10,1,0.0,2,SMOrc
139.20000,3,1,1.0,5,can you play with your knee for me Kreygasm
139.40000,10,1,0.0,2,SMOrc
139.60000,,2,0.0,5,5050
139.80000,10,1,0.0,2,SMOrc
140.00000,3,2,-1.0,5,SJOW KNEE SwiftRage
141.00000,10,1,0.0,2,SMOrc
141.33333,10,1,1.0,2,PogChamp
141.66667,8,2,0.0,5,YES
142.00000,7,2,0.0,5,THIS USED TO BE A KNEE STREAM FeelsBadMan
142.50000,10,2,1.0,1,Kreygasm
143.00000,10,1,0.0,2,SMOrc
144.00000,,1,-1.0,5,Awkward?
145.00000,10,1,0.0,2,SMOrc
146.00000,3,2,1.0,5,show knee KappaPride
146.25000,10,2,1.0,2,4Head
146.50000,10,1,0.0,2,SMOrc
146.75000,7,2,-1.0,5,50/50 loose the game
147.00000,8,2,0.0,5,oh hells yeah
147.50000,3,2,0.0,5,SJOW KNEE
148.00000,8,2,0.0,5,HELL YEAH
148.33333,8,1,0.0,5,SMOrc Kreygasl
148.66667,10,1,0.0,2,SMOrc
149.00000,10,2,1.0,2,4Head
150.00000,10,1,1.0,2,LUL
150.33333,10,1,1.0,2,LUL
150.66667,8,1,-1.0,5,SMOrc my jam SMOrc
151.00000,7,2,0.0,5,50/50 to lose the game
151.16667,5,1,1.0,5,SMOrc we all like it to face
151.33333,10,1,1.0,2,LUL
151.50000,6,1,1.0,5,50/50 LUL
151.66667,7,2,1.0,5,gachiGASM RIGHT VERSION
151.83333,,2,0.0,5,kneestone
152.00000,10,1,1.0,2,LUL
152.25000,10,1,1.0,2,LUL
152.50000,6,1,0.0,5,is this early days of kripp straem?
152.75000,10,1,1.0,2,LUL
153.00000,10,2,1.0,2,4Head
153.33333,10,1,0.0,2,SMOrc
153.66667,,2,0.0,5,ΛΘΛ
154.00000,10,1,0.0,2,SMOrc //
154.25000,10,1,0.0,2,SMOrc
154.50000,10,1,0.0,1,SMOrc
154.75000,10,2,1.0,2,LOL
155.00000,10,1,1.0,2,LUL
155.16667,10,1,1.0,2,LUL
155.33333,6,1,1.0,5,"@Hsdogdog, can you pull your pants leg up so we can see your knees? Kreygasm"
155.50000,10,1,0.0,2,SMOrc //
155.66667,10,1,1.0,2,LUL
155.83333,10,1,1.0,2,LUL
156.00000,8,2,0.0,5,balls
156.33333,10,1,0.0,2,SMOrc
156.66667,10,1,1.0,2,LUL
157.00000,5,2,1.0,5,NEVER LUCKY
157.20000,10,1,1.0,2,LUL
157.40000,10,2,1.0,2,4Head
157.60000,10,1,0.0,2,SMOrc
157.80000,10,1,1.0,2,LUL
158.00000,10,1,0.0,2,SMOrc
158.25000,7,2,0.0,5,5050 lose a game
158.50000,10,2,1.0,2,LOL
158.75000,5,2,0.0,5,COMING
159.00000,4,2,0.0,5,LEL
159.33333,3,2,0.0,5,ITS HEARTHSTONE OF COURSE YOU SHOULD
159.66667,4,1,3.0,5,LUL CUCKED EleGiggle EleGiggle
160.00000,10,1,1.0,2,LUL
160.50000,10,1,1.0,2,Kappa
161.00000,5,2,0.0,5,and they dont stop coming
161.20000,10,1,0.0,1,SMOrc
161.40000,8,1,0.0,5,SMOrc Yes
161.60000,,2,0.0,5,kpkpkp
